empresas_impedir_fnews;importancia_controle_fnews;petrobras_combustiveis;uso_maconha;cotas_universidades;direito_aborto;pena_morte;posse_armas;confianca_urnas;satisfacao_democracia;regime_governo;religiao;escolaridade;faixa_etaria;posicionamento_politico
Sim;Muito importante;A favor;Contra;Concorda;Discorda;Discorda;Concorda;Concorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Até ensino fundamental incompleto;De 50 a 59 anos;Direita
Sim;Muito importante;A favor;Contra;Concorda;Discorda;Discorda;Discorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino superior incompleto ou mais;De 16 a 29 anos;Centro
Não;Pouco importante;Não sei/Prefiro não responder;A favor;Discorda;Concorda;Discorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Sem religião ou crença;Ensino superior incompleto ou mais;De 16 a 29 anos;Direita
Não;Muito importante;Contra;Contra;Discorda;Discorda;Concorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino fundamental completo;60 anos ou mais;Direita
Sim;Muito importante;A favor;Contra;Concorda;Concorda;Concorda;Discorda;Discorda;Nada satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Católica;Até ensino fundamental incompleto;De 40 a 49 anos;Centro
Não se aplica;Não se aplica;Contra;Contra;Concorda;Concorda;Concorda;Concorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 50 a 59 anos;Direita
Sim;Muito importante;A favor;Contra;Discorda;Discorda;Discorda;Discorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 30 a 39 anos;Direita
Sim;Muito importante;A favor;Contra;Concorda;Discorda;Concorda;Concorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Até ensino fundamental incompleto;De 50 a 59 anos;Direita
Sim;Muito importante;A favor;Contra;Concorda;Concorda;Concorda;Discorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 50 a 59 anos;Esquerda
Não se aplica;Não se aplica;A favor;Contra;Concorda;Concorda;Discorda;Discorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Sem religião ou crença;Ensino superior incompleto ou mais;De 30 a 39 anos;Esquerda
Sim;Muito importante;A favor;Contra;Discorda;Concorda;Concorda;Discorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Sem religião ou crença;Ensino médio completo;60 anos ou mais;Centro
Não se aplica;Não se aplica;A favor;Contra;Concorda;Discorda;Concorda;Concorda;Discorda;Pouco satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Evangélica;Ensino médio completo;De 16 a 29 anos;Direita
Sim;Muito importante;A favor;Contra;Discorda;Concorda;Concorda;Concorda;Concorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino fundamental completo;De 40 a 49 anos;Centro
Não se aplica;Não se aplica;Contra;Contra;Discorda;Discorda;Concorda;Discorda;Concorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Até ensino fundamental incompleto;De 50 a 59 anos;Direita
Sim;Muito importante;Contra;Contra;Discorda;Concorda;Concorda;Discorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino superior incompleto ou mais;De 40 a 49 anos;Esquerda
Sim;Pouco importante;A favor;Contra;Concorda;Concorda;Discorda;Concorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 30 a 39 anos;Centro
Sim;Muito importante;A favor;Contra;Concorda;Concorda;Concorda;Concorda;Concorda;Pouco satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Evangélica;Ensino médio completo;De 16 a 29 anos;Centro
Não se aplica;Não se aplica;A favor;Contra;Discorda;Concorda;Concorda;Concorda;Discorda;Nada satisfeito(a);Tanto faz ter um governo democrático ou governo autoritário.;Evangélica;Ensino médio completo;De 50 a 59 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Concorda;Não sei/Prefiro não responder;Discorda;Discorda;Concorda;Não sei/Prefiro não responder;A democracia é sempre a melhor forma de governo.;Espírita;Ensino superior incompleto ou mais;De 50 a 59 anos;Esquerda
Sim;Muito importante;A favor;Contra;Discorda;Discorda;Concorda;Concorda;Discorda;Nada satisfeito(a);Tanto faz ter um governo democrático ou governo autoritário.;Evangélica;Ensino superior incompleto ou mais;De 50 a 59 anos;Direita
Sim;Muito importante;A favor;Contra;Concorda;Discorda;Discorda;Concorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino superior incompleto ou mais;De 40 a 49 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Concorda;Não sei/Prefiro não responder;Concorda;Discorda;Concorda;Pouco satisfeito(a);Tanto faz ter um governo democrático ou governo autoritário.;Evangélica;Ensino médio completo;De 50 a 59 anos;Direita
Sim;Pouco importante;A favor;Contra;Discorda;Discorda;Discorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 50 a 59 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Concorda;Concorda;Concorda;Não sei/Prefiro não responder;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 30 a 39 anos;Centro
Não;Nada importante;A favor;Contra;Discorda;Discorda;Concorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 40 a 49 anos;Direita
Sim;Muito importante;A favor;Contra;Concorda;Discorda;Discorda;Discorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 50 a 59 anos;Esquerda
Não sei/Prefiro não responder;Muito importante;A favor;Contra;Concorda;Concorda;Discorda;Discorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Outra religião;Ensino superior incompleto ou mais;De 30 a 39 anos;Centro
Não se aplica;Não se aplica;A favor;Contra;Discorda;Discorda;Discorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino fundamental completo;De 50 a 59 anos;Direita
Não se aplica;Não se aplica;Não sei/Prefiro não responder;Contra;Concorda;Não sei/Prefiro não responder;Concorda;Concorda;Discorda;Nada satisfeito(a);Não sei/Prefiro não responder;Prefiro não responder;Até ensino fundamental incompleto;De 40 a 49 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Concorda;Concorda;Discorda;Concorda;Concorda;Não sei/Prefiro não responder;A democracia é sempre a melhor forma de governo.;Católica;Até ensino fundamental incompleto;60 anos ou mais;Centro
Sim;Muito importante;A favor;Contra;Concorda;Discorda;Concorda;Discorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 30 a 39 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Discorda;Discorda;Discorda;Concorda;Concorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 16 a 29 anos;Direita
Não se aplica;Não se aplica;A favor;A favor;Discorda;Concorda;Discorda;Discorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino fundamental completo;De 16 a 29 anos;Centro
Não;Pouco importante;A favor;Contra;Discorda;Discorda;Discorda;Discorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 50 a 59 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Concorda;Concorda;Discorda;Concorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino superior incompleto ou mais;De 30 a 39 anos;Direita
Sim;Muito importante;A favor;A favor;Concorda;Discorda;Discorda;Discorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 40 a 49 anos;Centro
Não;Pouco importante;Contra;Contra;Discorda;Discorda;Concorda;Concorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino superior incompleto ou mais;De 40 a 49 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Discorda;Discorda;Concorda;Discorda;Concorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 30 a 39 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Concorda;Concorda;Concorda;Concorda;Discorda;Nada satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Católica;Ensino superior incompleto ou mais;De 50 a 59 anos;Direita
Não;Muito importante;A favor;Contra;Concorda;Discorda;Discorda;Concorda;Discorda;Pouco satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Evangélica;Ensino médio completo;De 50 a 59 anos;Direita
Não;Nada importante;A favor;Contra;Discorda;Discorda;Discorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;60 anos ou mais;Direita
Não sei/Prefiro não responder;Muito importante;A favor;Contra;Concorda;Discorda;Discorda;Discorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino fundamental completo;De 50 a 59 anos;Direita
Sim;Muito importante;A favor;Contra;Concorda;Concorda;Concorda;Discorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 16 a 29 anos;Direita
Sim;Muito importante;A favor;Contra;Concorda;Concorda;Discorda;Discorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 40 a 49 anos;Esquerda
Não se aplica;Não se aplica;Contra;Contra;Discorda;Discorda;Discorda;Não sei/Prefiro não responder;Concorda;Não sei/Prefiro não responder;Não sei/Prefiro não responder;Evangélica;Até ensino fundamental incompleto;60 anos ou mais;Direita
Sim;Muito importante;A favor;A favor;Discorda;Discorda;Discorda;Discorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 40 a 49 anos;Centro
Sim;Muito importante;A favor;Contra;Concorda;Concorda;Concorda;Concorda;Concorda;Nada satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Outra religião;Ensino médio completo;De 40 a 49 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Concorda;Discorda;Discorda;Concorda;Discorda;Pouco satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Evangélica;Até ensino fundamental incompleto;De 50 a 59 anos;Direita
Sim;Muito importante;A favor;Contra;Discorda;Concorda;Concorda;Discorda;Concorda;Pouco satisfeito(a);Tanto faz ter um governo democrático ou governo autoritário.;Católica;Ensino médio completo;De 40 a 49 anos;Centro
Sim;Nada importante;Contra;Contra;Discorda;Discorda;Discorda;Concorda;Discorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Até ensino fundamental incompleto;De 50 a 59 anos;Esquerda
Sim;Muito importante;A favor;Contra;Discorda;Discorda;Concorda;Discorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 30 a 39 anos;Esquerda
Sim;Muito importante;A favor;Contra;Discorda;Discorda;Concorda;Discorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 40 a 49 anos;Direita
Sim;Nada importante;A favor;Contra;Concorda;Discorda;Concorda;Concorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Até ensino fundamental incompleto;60 anos ou mais;Direita
Não se aplica;Não se aplica;A favor;Não sei/Prefiro não responder;Discorda;Concorda;Concorda;Concorda;Discorda;Pouco satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Católica;Ensino fundamental completo;60 anos ou mais;Centro
Sim;Nada importante;Contra;Contra;Discorda;Discorda;Discorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino fundamental completo;60 anos ou mais;Direita
Não;Nada importante;Contra;Contra;Discorda;Discorda;Concorda;Concorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 40 a 49 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Concorda;Discorda;Concorda;Discorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino fundamental completo;De 40 a 49 anos;Direita
Sim;Pouco importante;A favor;Contra;Concorda;Concorda;Concorda;Discorda;Concorda;Muito satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;60 anos ou mais;Centro
Sim;Muito importante;A favor;A favor;Concorda;Concorda;Discorda;Discorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Outra religião;Ensino superior incompleto ou mais;De 30 a 39 anos;Esquerda
Sim;Muito importante;A favor;A favor;Discorda;Discorda;Concorda;Não sei/Prefiro não responder;Concorda;Nada satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Sem religião ou crença;Ensino fundamental completo;De 40 a 49 anos;Direita
Sim;Muito importante;A favor;Contra;Concorda;Concorda;Discorda;Discorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 50 a 59 anos;Esquerda
Sim;Muito importante;A favor;Contra;Discorda;Discorda;Concorda;Concorda;Concorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 16 a 29 anos;Direita
Não;Muito importante;A favor;Contra;Concorda;Concorda;Concorda;Concorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino médio completo;De 16 a 29 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Discorda;Discorda;Discorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 50 a 59 anos;Direita
Não se aplica;Não se aplica;A favor;Contra;Concorda;Concorda;Concorda;Não sei/Prefiro não responder;Concorda;Nada satisfeito(a);Não sei/Prefiro não responder;Católica;Até ensino fundamental incompleto;60 anos ou mais;Direita
Sim;Muito importante;A favor;Contra;Discorda;Discorda;Concorda;Concorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino médio completo;De 30 a 39 anos;Centro
Não se aplica;Não se aplica;A favor;Contra;Discorda;Discorda;Não sei/Prefiro não responder;Discorda;Discorda;Nada satisfeito(a);Não sei/Prefiro não responder;Católica;Até ensino fundamental incompleto;De 50 a 59 anos;Direita
Sim;Pouco importante;A favor;Contra;Discorda;Discorda;Concorda;Concorda;Concorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;De 40 a 49 anos;Direita
Sim;Muito importante;Contra;Contra;Concorda;Concorda;Concorda;Concorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino superior incompleto ou mais;De 30 a 39 anos;Direita
Sim;Pouco importante;Contra;Contra;Discorda;Discorda;Discorda;Concorda;Discorda;Pouco satisfeito(a);A democracia é sempre a melhor forma de governo.;Católica;Ensino médio completo;60 anos ou mais;Direita
Não;Muito importante;Contra;Contra;Concorda;Concorda;Concorda;Discorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Ensino superior incompleto ou mais;De 16 a 29 anos;Direita
Sim;Muito importante;Contra;Contra;Concorda;Concorda;Concorda;Concorda;Concorda;Pouco satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Outra religião;Ensino médio completo;De 40 a 49 anos;Esquerda
Não sei/Prefiro não responder;Muito importante;Contra;Contra;Discorda;Concorda;Discorda;Concorda;Concorda;Nada satisfeito(a);Em algumas situações, um governo autoritário é melhor.;Católica;Ensino superior incompleto ou mais;60 anos ou mais;Direita
Sim;Nada importante;A favor;Contra;Discorda;Discorda;Discorda;Discorda;Discorda;Nada satisfeito(a);A democracia é sempre a melhor forma de governo.;Evangélica;Até ensino fundamental incompleto;60 anos ou mais;Direita
